,index,state,act2018_partic,act2018_comp,sat2018_partic,sat2018_erw,sat2018_math,sat2018_total
0,0,Alabama,1.0,19.1,0.06,595,571,1166
1,1,Alaska,0.33,20.8,0.43,562,544,1106
2,2,Arizona,0.66,19.2,0.29,577,572,1149
3,3,Arkansas,1.0,19.4,0.05,592,576,1169
4,4,California,0.27,22.7,0.6,540,536,1076
5,5,Colorado,0.3,23.9,1.0,519,506,1025
6,6,Connecticut,0.26,25.6,1.0,535,519,1053
7,7,Delaware,0.17,23.8,1.0,505,492,998
8,8,District of Columbia,0.32,23.6,0.92,497,480,977
9,9,Florida,0.66,19.9,0.56,550,549,1099
10,10,Georgia,0.53,21.4,0.7,542,522,1064
11,11,Hawaii,0.89,18.9,0.56,480,530,1010
12,12,Idaho,0.36,22.3,1.0,508,493,1001
13,13,Illinois,0.43,23.9,0.99,513,506,1019
14,14,Indiana,0.32,22.5,0.63,542,532,1074
15,15,Iowa,0.68,21.8,0.03,634,631,1265
16,16,Kansas,0.71,21.6,0.04,633,631,1265
17,17,Kentucky,1.0,20.2,0.04,630,618,1248
18,18,Louisiana,1.0,19.2,0.04,615,595,1210
19,20,Maine,0.07,24.0,0.99,512,501,1013
20,21,Maryland,0.31,22.5,0.76,545,535,1080
21,22,Massachusetts,0.25,25.5,0.8,562,563,1125
22,23,Michigan,0.22,24.2,1.0,511,499,1011
23,24,Minnesota,0.99,21.3,0.04,643,655,1298
24,25,Mississippi,1.0,18.6,0.03,630,606,1236
25,26,Missouri,1.0,20.0,0.04,633,629,1262
26,27,Montana,1.0,20.0,0.1,606,592,1198
27,28,Nebraska,1.0,20.1,0.03,629,623,1252
28,29,Nevada,1.0,17.7,0.23,574,566,1140
29,30,New Hampshire,0.16,25.1,0.96,535,528,1063
30,31,New Jersey,0.31,23.7,0.82,547,547,1094
31,32,New Mexico,0.67,19.4,0.16,552,540,1093
32,33,New York,0.27,24.5,0.79,534,534,1068
33,34,North Carolina,1.0,19.1,0.52,554,543,1098
34,35,North Dakota,0.98,20.3,0.02,640,643,1283
35,36,Ohio,1.0,20.3,0.18,552,547,1099
36,37,Oklahoma,1.0,19.3,0.08,541,521,1062
37,38,Oregon,0.42,21.3,0.48,564,553,1117
38,39,Pennsylvania,0.2,23.5,0.7,547,539,1086
39,40,Rhode Island,0.15,24.2,0.97,513,505,1018
40,41,South Carolina,1.0,18.3,0.55,547,523,1070
41,42,South Dakota,0.77,21.9,0.03,622,618,1240
42,43,Tennessee,1.0,19.6,0.06,624,607,1231
43,44,Texas,0.45,20.7,0.66,520,512,1032
44,45,Utah,1.0,20.4,0.04,480,530,1010
45,46,Vermont,0.24,24.1,0.64,565,554,1120
46,47,Virginia,0.24,23.9,0.68,567,550,1117
47,48,Washington,0.24,22.2,0.69,543,538,1081
48,49,West Virginia,0.65,20.3,0.28,513,486,999
49,50,Wisconsin,1.0,20.5,0.03,641,653,1294
50,51,Wyoming,1.0,20.0,0.03,633,625,1257
