geo_id,name_x,total_pop,pct_male,median_age,pct_hisp_latino,pce_white,pct_black,pct_american_ind,pct_asian,pct_hawaiian_pacisldr,pct_other_race,name_y,pct_unemployed,avg_wrk_commute_mins,median_hsld_income,per_cap_income,name_x,total_households,avg_household_size,avg_family_size,pop_in_households,pct_bach_degree,name_y,total_housing_units,occupied_housing_units,total_units_in_structure,units_built_after_2014,owner_occupied_units,renter_occupied_units
1400000US11001000100,"Census Tract 1, District of Columbia, District of Columbia",5160,47.2,41.3,14.6,76.1,0.7,0.0,6.2,0.0,0.0,"Census Tract 1, District of Columbia, District of Columbia",1.8,24.2,191146,136192,"Census Tract 1, District of Columbia, District of Columbia",2351,2.19,2.72,5147,89.6,"Census Tract 1, District of Columbia, District of Columbia",2805,2351,2805,0,1294,1057
1400000US11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",3817,46.7,19.8,9.9,57.2,8.7,0.2,18.5,0.0,0.0,"Census Tract 2.01, District of Columbia, District of Columbia",2.1,13.3,-,3743,"Census Tract 2.01, District of Columbia, District of Columbia",0,-,-,0,100.0,"Census Tract 2.01, District of Columbia, District of Columbia",0,0,0,0,0,0
1400000US11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",4541,50.8,27.5,8.9,74.3,5.9,0.9,6.3,0.3,0.0,"Census Tract 2.02, District of Columbia, District of Columbia",2.3,21.3,170987,79611,"Census Tract 2.02, District of Columbia, District of Columbia",1563,2.26,2.62,3540,90.5,"Census Tract 2.02, District of Columbia, District of Columbia",1852,1563,1852,21,1063,500
1400000US11001000300,"Census Tract 3, District of Columbia, District of Columbia",6334,44.9,31.5,6.6,77.1,7.3,0.0,7.4,0.0,0.0,"Census Tract 3, District of Columbia, District of Columbia",2.0,25.3,152120,75083,"Census Tract 3, District of Columbia, District of Columbia",2455,2.58,3.00,6334,91.1,"Census Tract 3, District of Columbia, District of Columbia",2540,2455,2540,20,1234,1221
1400000US11001000400,"Census Tract 4, District of Columbia, District of Columbia",1428,42.6,45.7,15.6,72.5,3.0,0.0,6.2,0.0,0.0,"Census Tract 4, District of Columbia, District of Columbia",0.4,25.6,126731,137970,"Census Tract 4, District of Columbia, District of Columbia",618,2.27,3.18,1401,82.0,"Census Tract 4, District of Columbia, District of Columbia",720,618,720,28,354,264
1400000US11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",3545,50.9,34.8,16.6,75.1,4.1,0.0,2.3,0.0,0.0,"Census Tract 5.01, District of Columbia, District of Columbia",1.7,27.7,116303,90381,"Census Tract 5.01, District of Columbia, District of Columbia",1888,1.86,2.50,3507,92.0,"Census Tract 5.01, District of Columbia, District of Columbia",2194,1888,2194,130,335,1553
1400000US11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",3371,44.5,39.2,14.6,78.2,1.6,0.0,3.3,0.3,0.0,"Census Tract 5.02, District of Columbia, District of Columbia",2.7,26.9,142750,111466,"Census Tract 5.02, District of Columbia, District of Columbia",1569,2.15,2.82,3371,88.6,"Census Tract 5.02, District of Columbia, District of Columbia",1768,1569,1768,0,870,699
1400000US11001000600,"Census Tract 6, District of Columbia, District of Columbia",4969,46.1,45.2,14.9,70.7,6.8,0.0,5.9,0.0,0.0,"Census Tract 6, District of Columbia, District of Columbia",0.7,28.7,177759,120324,"Census Tract 6, District of Columbia, District of Columbia",2170,2.20,2.96,4769,88.2,"Census Tract 6, District of Columbia, District of Columbia",2291,2170,2291,0,1582,588
1400000US11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",5873,45.7,47.6,5.7,73.8,9.4,0.9,7.2,0.0,0.0,"Census Tract 7.01, District of Columbia, District of Columbia",1.5,27.7,98750,89568,"Census Tract 7.01, District of Columbia, District of Columbia",3388,1.73,2.57,5868,92.7,"Census Tract 7.01, District of Columbia, District of Columbia",3539,3388,3539,0,1949,1439
1400000US11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",3355,43.3,34.5,11.4,67.1,6.5,0.0,9.3,0.0,2.7,"Census Tract 7.02, District of Columbia, District of Columbia",6.5,30.5,69292,56173,"Census Tract 7.02, District of Columbia, District of Columbia",2238,1.50,2.35,3355,73.8,"Census Tract 7.02, District of Columbia, District of Columbia",2378,2238,2378,0,523,1715
