geo_id,name_x,median_age,pct_hisp_latino,pct_black,pct_asian,pct_unemployed,avg_wrk_commute_mins,median_hsld_income,avg_household_size,pct_bach_degree,median_rent,pct_other_minority,pop_density,pct_renter_occupied
1400000US11001000100,"Census Tract 1, District of Columbia, District of Columbia",41.3,14.6,0.7,6.2,1.8,24.2,191146,2.19,89.6,2289,0.0,1.839572192513369,0.3768270944741533
1400000US11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",27.5,8.9,5.9,6.3,2.3,21.3,170987,2.26,90.5,2398,1.2,2.4519438444924404,0.26997840172786175
1400000US11001000300,"Census Tract 3, District of Columbia, District of Columbia",31.5,6.6,7.3,7.4,2.0,25.3,152120,2.58,91.1,2056,0.0,2.4937007874015746,0.4807086614173228
1400000US11001000400,"Census Tract 4, District of Columbia, District of Columbia",45.7,15.6,3.0,6.2,0.4,25.6,126731,2.27,82.0,2221,0.0,1.9833333333333334,0.36666666666666664
1400000US11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",34.8,16.6,4.1,2.3,1.7,27.7,116303,1.86,92.0,2134,0.0,1.6157702825888787,0.7078395624430265
1400000US11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",39.2,14.6,1.6,3.3,2.7,26.9,142750,2.15,88.6,1908,0.3,1.9066742081447965,0.3953619909502262
1400000US11001000600,"Census Tract 6, District of Columbia, District of Columbia",45.2,14.9,6.8,5.9,0.7,28.7,177759,2.2,88.2,2039,0.0,2.1689218681798343,0.25665648188563944
1400000US11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",47.6,5.7,9.4,7.2,1.5,27.7,98750,1.73,92.7,1725,0.9,1.6595083356880476,0.40661203729867196
1400000US11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",34.5,11.4,6.5,9.3,6.5,30.5,69292,1.5,73.8,1631,2.7,1.4108494533221194,0.7211942809083264
1400000US11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",40.0,11.5,8.3,5.9,6.9,28.3,144922,2.24,86.8,2296,0.2,2.1961722488038276,0.13362952836637046
1400000US11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",34.0,16.3,7.4,8.2,1.6,23.5,114091,2.6,87.4,1872,0.0,2.4183050847457626,0.3708474576271186
1400000US11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",20.2,13.5,7.0,7.1,3.6,24.2,250000,2.8,85.8,2471,0.4,4.549786194257789,0.17226634086744044
1400000US11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",43.0,15.7,3.4,2.2,2.0,25.0,217708,3.01,87.7,2556,0.0,2.9136363636363636,0.10568181818181818
1400000US11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",42.8,8.7,3.9,5.5,1.2,30.2,179762,2.67,90.6,2119,0.2,2.7279774489076813,0.22868217054263565
1400000US11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",29.6,15.4,5.5,7.3,6.1,28.8,102479,1.85,83.0,1952,0.7,1.6105263157894736,0.5409610983981693
1400000US11001001100,"Census Tract 11, District of Columbia, District of Columbia",43.1,8.6,5.6,5.3,2.9,31.1,147727,2.41,87.8,1681,0.8,2.2660753880266076,0.30110864745011084
1400000US11001001200,"Census Tract 12, District of Columbia, District of Columbia",38.4,9.7,5.7,5.0,2.1,29.9,126250,2.09,86.3,1810,0.0,2.029787234042553,0.43868471953578336
1400000US11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",35.0,6.1,14.0,10.9,4.4,30.7,127000,2.1,89.2,1947,0.0,2.0239960822722822,0.6131243878550441
1400000US11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",36.6,11.4,7.0,7.1,2.4,29.6,107256,1.58,84.9,1951,0.3,1.4651162790697674,0.6256006150297905
1400000US11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",38.3,10.4,7.6,11.3,3.2,34.9,122419,2.44,90.8,1689,0.6000000000000001,2.3956785955435516,0.424713031735314
1400000US11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",42.6,17.9,8.3,8.8,2.0,28.8,113991,2.22,75.8,1417,0.8,2.1532207629768605,0.4790494058786742
1400000US11001001500,"Census Tract 15, District of Columbia, District of Columbia",46.1,9.3,5.8,1.3,3.4,31.3,202431,2.82,87.7,3500,0.0,2.8920056100981766,0.11781206171107994
1400000US11001001600,"Census Tract 16, District of Columbia, District of Columbia",44.6,8.0,58.3,2.1,2.6,34.7,169044,3.02,76.7,2054,0.0,2.813925570228091,0.07803121248499399
1400000US11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",40.9,15.5,39.2,1.3,4.9,33.8,84924,2.21,67.8,1699,0.3,2.1407549584133077,0.37492002559181065
1400000US11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",34.5,35.5,58.6,0.2,4.0,34.0,52606,2.75,25.8,1205,0.2,2.5236151603498542,0.7580174927113703
1400000US11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",36.1,28.7,62.7,0.9,3.9,35.2,38564,2.68,29.7,1087,2.3,2.6152135231316724,0.7437722419928826
1400000US11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",36.7,19.9,59.6,2.7,4.7,37.5,86927,3.02,51.6,1108,0.5,2.642375995101041,0.2516840171463564
