OBJECTID,GEOID,ALAND,AWATER,NAME,State,County,B19049_001E,B19049_001M,B19049_002E,B19049_002M,B19049_003E,B19049_003M,B19049_004E,B19049_004M,B19049_005E,B19049_005M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19053_001E,B19053_001M,B19053_002E,B19053_002M,B19053_003E,B19053_003M,B19053_calc_pctSelfempE,B19053_calc_pctSelfempM,Shape__Area,Shape__Length,Shape__Area_2,Shape__Length_2
1,11001000100,1907610,512798,Census Tract 1,District of Columbia,District of Columbia,191146,25411,,,152442,60183,233125,51056,179673,74290,,,,,234083,42503,,,,,,,195859,29642,83601,63059,2351,186,358,97,1993,197,15.2,3.946099565,3157969.937,16275.59308,3157969.926,16275.59308
2,11001000201,503312,0,Census Tract 2.01,District of Columbia,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,0,12,,,832414.1801,4265.956241,832414.1953,4265.956241
3,11001000202,776437,428754,Census Tract 2.02,District of Columbia,District of Columbia,170987,28290,,,184361,50091,201979,74161,148417,87153,,,,,188611,181700,,,,,,,182972,43194,150278,96043,1563,153,313,125,1250,179,20,7.753474526,1284189.13,13196.75543,1284189.109,13196.75543
4,11001000300,1010802,2334,Census Tract 3,District of Columbia,District of Columbia,152120,21528,36047,23324,153846,38255,212083,31685,145761,29831,,,,,161800,70063,,,,,,,144359,17844,229853,115840,2455,111,245,99,2210,149,10,4.00726303,1675991.329,5244.314206,1675991.328,5244.314206
5,11001000400,1542759,69,Census Tract 4,District of Columbia,District of Columbia,126731,38147,,,76375,60147,250001,,123750,34663,,,,,2499,,,,,,,,125673,36476,203393,193097,618,53,115,34,503,54,18.6,5.265074522,2552695.085,7468.467697,2552695.035,7468.467697
6,11001000501,940586,30822,Census Tract 5.01,District of Columbia,District of Columbia,116303,11791,58529,22605,115013,11769,158933,21807,106827,89174,,,,,58214,43589,,,,,,,141875,28330,81528,59690,1888,133,373,125,1515,156,19.8,6.472833466,1561991.269,8755.028114,1561991.258,8755.028114
7,11001000502,581506,0,Census Tract 5.02,District of Columbia,District of Columbia,142750,14125,86250,36459,140625,18140,217596,100096,118636,52818,85801,35666,,,106806,66236,,,32955,10483,69861,58145,160481,20529,90714,43074,1569,93,435,86,1134,120,27.7,5.229051664,962251.1905,5195.047822,962251.2188,5195.047822
8,11001000600,1442822,71,Census Tract 6,District of Columbia,District of Columbia,177759,56705,,,173173,46314,250001,,145938,26289,250001,,,,,,,,,,,,172404,59733,250001,,2170,113,345,127,1825,186,15.9,5.793681196,2388176.933,6692.096651,2388176.938,6692.096651
9,11001000701,548936,0,Census Tract 7.01,District of Columbia,District of Columbia,98750,17309,33688,14163,90500,20403,127183,44693,115921,34393,65306,39708,,,,,,,,,,,112115,35936,127388,39595,3388,149,451,131,2937,220,13.3,3.82201158,908390.3699,4113.244927,908390.375,4113.244927
10,11001000702,293835,0,Census Tract 7.02,District of Columbia,District of Columbia,69292,6996,30956,24990,71947,9499,67946,21627,85703,59233,,,,,71696,7890,,,,,,,82813,15833,49612,41021,2238,173,264,128,1974,197,11.8,5.646233548,486171.3747,3519.881081,486171.3828,3519.881081
11,11001000801,2913351,168211,Census Tract 8.01,District of Columbia,District of Columbia,144922,29667,,,143798,51548,196354,63041,146397,51075,,,,,105288,22605,,,,,,,164844,33427,,,2684,142,412,111,2272,168,15.4,4.055095598,4821359.839,14470.73624,4821359.887,14470.73624
12,11001000802,1713200,669752,Census Tract 8.02,District of Columbia,District of Columbia,114091,27335,,,81964,18802,163750,58077,154625,90382,75566,37610,,,,,,,,,,,177917,49776,88780,60774,1374,98,327,93,1047,133,23.8,6.552252211,3164973.95,16702.42706,3164973.973,16702.42706
13,11001000901,2952810,75151,Census Tract 9.01,District of Columbia,District of Columbia,250001,,,,250001,,250001,,189667,78674,,,,,112250,30749,,,,,,,250001,,209722,116945,1545,94,347,81,1198,112,22.5,5.061507109,5011918.284,9122.535549,5011918.258,9122.535549
14,11001000902,1867106,307257,Census Tract 9.02,District of Columbia,District of Columbia,217708,23746,,,230515,46070,231544,29725,195972,56016,196563,159581,,,250001,,,,,,,,221250,22020,,,849,49,165,48,684,57,19.4,5.541326433,3154927.259,20593.64863,3154927.344,20593.64863
15,11001001001,2454382,0,Census Tract 10.01,District of Columbia,District of Columbia,179762,16960,,,216125,46782,250001,,82283,26438,,,,,206080,93752,,,,,250001,,169405,22064,250001,,2818,74,538,142,2280,163,19.1,5.014033314,4063753.699,8381.004396,4063753.695,8381.004396
16,11001001002,889721,0,Census Tract 10.02,District of Columbia,District of Columbia,102479,25199,10392,4868,125302,24719,142260,37516,83417,81152,,,,,85515,85247,,,,,,,131484,27609,,,1907,154,294,107,1613,169,15.4,5.471039536,1472692.093,5087.143543,1472692.039,5087.143543
17,11001001100,1676650,0,Census Tract 11,District of Columbia,District of Columbia,147727,28976,58750,7524,166103,49756,250001,,83125,43393,,,,,173036,169575,,,,,,,165368,29271,136029,31266,2088,100,449,122,1639,153,21.5,5.751432222,2776699.551,7342.144754,2776699.512,7342.144754
18,11001001200,1218245,0,Census Tract 12,District of Columbia,District of Columbia,126250,26905,,,119556,45585,167750,33709,79271,31243,,,,,93906,84176,,,,,,,141597,29180,78229,29401,2498,108,452,145,2046,171,18.1,5.751685328,2016913.447,6317.877418,2016913.484,6317.877418
19,11001001301,2855962,26550,Census Tract 13.01,District of Columbia,District of Columbia,127000,21775,53889,7651,99938,24206,134890,62345,220263,75547,,,,,98407,61393,,,,,,,135288,14043,250001,,1916,128,338,105,1578,152,17.6,5.35194632,4727255.977,11516.08309,4727255.973,11516.08309
20,11001001302,1593505,14706,Census Tract 13.02,District of Columbia,District of Columbia,107256,20742,50795,46420,98750,34140,125779,19979,101477,32021,47500,44158,,,,,,,58053,43269,81460,6420,127127,8755,80230,47009,4811,264,531,225,4280,340,11,4.637399195,2636889.791,8147.364436,2636889.801,8147.364436
21,11001001401,788095,0,Census Tract 14.01,District of Columbia,District of Columbia,122419,12859,53065,45553,107222,29851,207000,65501,120392,16898,70500,33285,,,121250,51116,,,,,,,172670,50532,,,1452,52,248,75,1204,86,17.1,5.128943845,1305453.017,5190.470129,1305453.031,5190.470129
22,11001001402,895209,0,Census Tract 14.02,District of Columbia,District of Columbia,113991,16937,,,240625,34977,161250,68521,72500,22012,,,,,,,,,113000,39568,,,140179,41802,114219,101240,1530,97,246,81,1284,119,16.1,5.195055738,1482693.405,6265.038626,1482693.445,6265.038626
23,11001001500,4686643,12091,Census Tract 15,District of Columbia,District of Columbia,202431,28874,,,236875,62333,222813,49019,114732,64337,159500,154668,,,211667,50822,,,,,,,206250,30597,250001,,2123,76,340,96,1783,119,16,4.485411636,7777366.22,16233.8897,7777366.164,16233.8897
24,11001001600,2665663,35624,Census Tract 16,District of Columbia,District of Columbia,169044,14338,,,250001,,169154,22370,130450,7807,142500,25463,,,,,,,,,,,204318,40809,,,1530,82,350,102,1180,106,22.9,6.552961861,4419441.255,14644.78311,4419441.215,14644.78311
25,11001001702,939292,0,Census Tract 17.02,District of Columbia,District of Columbia,84924,26936,,,83317,34971,134472,20659,56477,30132,81250,9666,,,,,,,69145,40035,31333,16315,116125,33340,67697,36810,1488,78,200,73,1288,100,13.4,4.855057719,1556190.408,6252.856917,1556190.422,6252.856917
26,11001001803,1136289,31934,Census Tract 18.03,District of Columbia,District of Columbia,52606,17421,,,55053,10605,41745,7184,51591,32817,37417,18040,,,,,,,60238,13341,,,85536,52174,54263,13229,1572,108,187,81,1385,121,11.9,5.087446531,1882736.129,8557.650354,1882736.172,8557.650354
